Player,Age,Team,Pos,PosH,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,AST/G,TOV/AST,MPPG,FP,FPPG,FPPM
Tre Jones,25,SAS,PG,G,28,0,450,45,93,0.48,8,26,0.308,37,67,0.552,25,33,15,43,104,18,5,21,3.71,0.20,16,372.5,13.3,0.83
Cody Williams,20,UTA,SG,G,50,21,1060,83,257,0.32,35,135,0.259,48,122,0.393,29,40,27,86,59,23,16,44,1.18,0.75,21,372,7.4,0.35
Caleb Houstan,22,ORL,SF,F,58,6,788,80,190,0.42,64,160,0.4,16,30,0.533,15,17,19,56,35,22,6,13,0.60,0.37,14,367.5,6.3,0.47
Zach Collins,27,SAS,C,C,36,4,425,61,132,0.46,14,46,0.304,47,86,0.547,31,35,38,63,52,14,15,23,1.44,0.44,12,365.5,10.2,0.86
Jordan Goodwin,26,LAL,PG,G,29,5,543,63,144,0.44,26,68,0.382,37,76,0.487,9,11,38,74,42,30,11,26,1.45,0.62,19,364.5,12.6,0.67
Micah Potter,26,UTA,C,C,38,10,705,57,135,0.42,31,98,0.316,26,37,0.703,17,20,43,121,31,14,14,31,0.82,1.00,19,363,9.6,0.51
Lindy Waters III,27,GSW,SG,G,38,9,655,76,205,0.37,49,148,0.331,27,57,0.474,8,11,16,80,42,22,10,17,1.11,0.40,17,361,9.5,0.55
Delon Wright,32,2TM,PG,G,40,7,635,45,131,0.34,20,73,0.274,25,58,0.431,15,25,27,39,77,35,12,22,1.93,0.29,16,360.5,9.0,0.57
Bruce Brown,28,NOP,PG,G,23,12,569,73,178,0.41,16,45,0.356,57,133,0.429,27,36,23,73,56,17,7,20,2.43,0.36,25,359.5,15.6,0.63
Elfrid Payton,30,NOP,PG,G,18,7,388,37,101,0.37,1,6,0.167,36,95,0.379,4,7,14,52,146,18,8,52,8.11,0.36,22,358.5,19.9,0.92
Jared Butler,24,WAS,PG,G,32,0,362,85,176,0.48,15,41,0.366,70,135,0.519,35,45,14,27,82,12,5,29,2.56,0.35,11,357.5,11.2,0.99
Craig Porter Jr.,24,CLE,PG,G,51,1,513,72,140,0.51,21,48,0.438,51,92,0.554,23,32,19,48,71,17,15,38,1.39,0.54,10,356,7.0,0.69
Dorian Finney-Smith,31,BRK,PF,F,20,20,579,73,159,0.46,47,108,0.435,26,51,0.51,15,24,31,60,31,18,12,18,1.55,0.58,29,353,17.7,0.61
Landry Shamet,27,NYK,SG,G,50,0,762,106,230,0.46,62,156,0.397,44,74,0.595,12,18,11,50,27,23,2,22,0.54,0.81,15,347.5,7.0,0.46
Rob Dillingham,20,MIN,PG,G,49,1,516,93,211,0.44,25,74,0.338,68,137,0.496,8,15,12,38,98,20,1,53,2.00,0.54,11,344.5,7.0,0.67
Keaton Wallace,25,ATL,PG,G,31,5,501,65,162,0.40,27,82,0.329,38,80,0.475,11,11,7,43,81,28,9,33,2.61,0.41,16,343,11.1,0.68
Mo Bamba,26,2TM,C,C,32,2,413,52,112,0.46,15,54,0.278,37,58,0.638,19,27,32,113,18,9,31,20,0.56,1.11,13,341,10.7,0.83
A.J. Lawson,24,TOR,SG,G,26,2,486,80,190,0.42,33,101,0.327,47,89,0.528,43,63,20,66,31,13,6,15,1.19,0.48,19,337,13.0,0.69
Robert Williams,27,POR,C,C,20,3,351,50,78,0.64,1,3,0.333,49,75,0.653,15,17,35,83,21,13,33,17,1.05,0.81,18,336.5,16.8,0.96
Colby Jones,22,2TM,SG,G,39,0,515,59,129,0.46,16,49,0.327,43,80,0.538,23,35,21,66,44,26,13,23,1.13,0.52,13,333.5,8.6,0.65
Shake Milton,28,BRK,SG,G,27,1,492,73,157,0.47,28,72,0.389,45,85,0.529,25,33,16,35,64,15,1,20,2.37,0.31,18,332,12.3,0.67
Duop Reath,28,POR,C,C,46,0,469,70,166,0.42,34,106,0.321,36,60,0.6,20,22,44,48,26,12,14,16,0.57,0.62,10,331,7.2,0.71
Lonnie Walker IV,26,PHI,SG,G,20,7,477,89,212,0.42,45,127,0.354,44,85,0.518,24,30,6,57,50,10,5,25,2.50,0.50,24,328.5,16.4,0.69
Kelly Olynyk,33,TOR,C,C,24,2,383,59,118,0.50,19,43,0.442,40,75,0.533,34,43,25,64,56,16,8,35,2.33,0.63,16,328.5,13.7,0.86
AJ Johnson,20,2TM,SG,G,29,11,639,82,213,0.39,24,90,0.267,58,123,0.472,32,37,8,51,76,12,3,35,2.62,0.46,22,327,11.3,0.51
Jett Howard,21,ORL,SF,F,60,0,701,98,262,0.37,55,186,0.296,43,76,0.566,16,23,20,50,44,13,11,36,0.73,0.82,12,325.5,5.4,0.46
Dillon Jones,23,OKC,SF,F,54,3,551,51,133,0.38,16,63,0.254,35,70,0.5,17,28,30,91,58,16,4,28,1.07,0.48,10,324.5,6.0,0.59
Anthony Davis,31,DAL,PF,F,9,9,266,70,152,0.46,7,30,0.233,63,122,0.516,33,48,15,76,40,5,20,20,4.44,0.50,30,320,35.6,1.20
Vince Williams Jr.,24,MEM,SG,G,27,5,499,67,167,0.40,26,95,0.274,41,72,0.569,19,24,22,76,55,12,7,33,2.04,0.60,18,317.5,11.8,0.64
Bogdan Bogdanović,32,ATL,SG,G,24,0,598,83,224,0.37,44,146,0.301,39,78,0.5,30,34,12,54,49,20,6,37,2.04,0.76,25,315.5,13.1,0.53
Jamal Cain,25,NOP,SF,F,37,0,502,68,158,0.43,26,80,0.325,42,78,0.538,34,50,27,58,22,23,9,22,0.59,1.00,14,305.5,8.3,0.61
Jaylen Clark,23,MIN,SG,G,40,4,522,56,120,0.47,22,51,0.431,34,69,0.493,29,37,26,27,26,36,2,8,0.65,0.31,13,305,7.6,0.58
Wendell Moore Jr.,23,2TM,SG,G,36,1,499,59,126,0.47,14,41,0.341,45,85,0.529,18,22,30,65,42,20,5,27,1.17,0.64,14,304.5,8.5,0.61
Jaylon Tyson,22,CLE,SG,G,47,3,453,64,149,0.43,20,58,0.345,44,91,0.484,19,24,37,59,44,13,3,26,0.94,0.59,10,304.5,6.5,0.67
Quenton Jackson,26,IND,PG,G,28,7,381,58,122,0.48,15,40,0.375,43,82,0.524,31,40,14,30,53,21,5,16,1.89,0.30,14,302.5,10.8,0.79
Grant Williams,26,CHO,PF,F,16,7,479,54,123,0.44,27,74,0.365,27,49,0.551,31,37,18,64,37,18,13,28,2.31,0.76,30,299.5,18.7,0.63
AJ Johnson,20,WAS,SG,G,22,11,595,74,194,0.38,21,85,0.247,53,109,0.486,31,35,8,44,69,11,3,31,3.14,0.45,27,298,13.5,0.50
Mo Bamba,26,LAC,C,C,28,2,352,48,103,0.47,15,50,0.3,33,53,0.623,17,25,26,94,16,9,28,19,0.57,1.19,13,297.5,10.6,0.85
Dominick Barlow,21,ATL,SF,F,35,4,375,60,113,0.53,7,27,0.259,53,86,0.616,21,33,35,50,19,9,16,5,0.54,0.26,11,296,8.5,0.79
Marcus Smart,30,MEM,PG,G,19,6,400,53,148,0.36,29,90,0.322,24,58,0.414,30,36,14,29,71,23,6,35,3.74,0.49,21,294.5,15.5,0.74
Colin Castleton,24,3TM,C,C,26,4,432,46,98,0.47,2,16,0.125,44,82,0.537,29,38,53,69,28,8,10,23,1.08,0.82,17,287,11.0,0.66
Trevelin Queen,27,ORL,SG,G,31,2,430,56,147,0.38,22,77,0.286,34,70,0.486,18,21,26,28,38,31,10,22,1.23,0.58,14,286,9.2,0.67
KJ Martin,24,PHI,PF,F,24,7,480,61,99,0.62,8,21,0.381,53,78,0.679,24,29,21,51,19,11,16,12,0.79,0.63,20,283,11.8,0.59
David Roddy,23,3TM,PF,F,33,3,410,57,125,0.46,19,61,0.311,38,64,0.594,20,26,13,71,35,14,9,22,1.06,0.63,12,278.5,8.4,0.68
Gary Harris,30,ORL,SG,G,48,3,711,51,133,0.38,36,101,0.356,15,32,0.469,7,12,20,44,30,26,12,17,0.63,0.57,15,277.5,5.8,0.39
GG Jackson II,20,MEM,PF,F,29,3,459,74,199,0.37,32,95,0.337,42,104,0.404,29,40,27,65,29,12,5,31,1.00,1.07,16,276.5,9.5,0.60
Mitchell Robinson,26,NYK,C,C,17,3,290,37,56,0.66,0,0,,37,56,0.661,13,19,52,49,13,16,18,10,0.76,0.77,17,275.5,16.2,0.95
Kai Jones,24,DAL,C,C,12,6,260,61,73,0.84,1,3,0.333,60,70,0.857,14,20,25,54,15,9,10,8,1.25,0.53,22,271.5,22.6,1.04
Maxi Kleber,33,DAL,PF,F,34,4,637,37,96,0.39,13,49,0.265,24,47,0.511,16,21,25,70,43,9,17,23,1.26,0.53,19,270.5,8.0,0.42
Devin Carter,22,SAC,PG,G,36,0,396,47,127,0.37,18,61,0.295,29,66,0.439,26,44,19,57,41,21,4,18,1.14,0.44,11,270.5,7.5,0.68
Taj Gibson,39,CHO,C,C,37,11,409,47,95,0.50,1,2,0.5,46,93,0.495,12,20,51,69,21,9,18,25,0.57,1.19,11,270.5,7.3,0.66
Malaki Branham,21,SAS,SG,G,47,0,427,87,190,0.46,34,84,0.405,53,106,0.5,27,33,7,44,38,11,2,34,0.81,0.89,9,269,5.7,0.63
Dante Exum,29,DAL,PG,G,20,13,372,64,134,0.48,23,53,0.434,41,81,0.506,23,31,4,29,56,12,3,22,2.80,0.39,19,268,13.4,0.72
Ousmane Dieng,21,OKC,C,C,37,1,405,54,125,0.43,23,71,0.324,31,54,0.574,11,16,18,63,31,17,7,18,0.84,0.58,11,268,7.2,0.66
Khris Middleton,33,WAS,SF,F,14,14,309,52,126,0.41,13,47,0.277,39,79,0.494,33,38,8,44,48,18,3,19,3.43,0.40,22,266.5,19.0,0.86
Alex Len,31,2TM,C,C,46,7,380,32,63,0.51,2,9,0.222,30,54,0.556,8,17,38,57,38,9,21,20,0.83,0.53,8,264,5.7,0.69
Colby Jones,22,WAS,SG,G,15,0,385,48,103,0.47,12,39,0.308,36,64,0.563,23,35,13,51,37,20,6,16,2.47,0.43,26,262,17.5,0.68
Josh Okogie,26,PHO,SG,G,25,1,351,56,114,0.49,16,42,0.381,40,72,0.556,22,32,32,40,14,21,10,16,0.56,1.14,14,262,10.5,0.75
Oscar Tshiebwe,25,UTA,C,C,14,1,255,42,70,0.60,0,0,,42,70,0.6,23,31,46,76,9,13,1,10,0.64,1.11,18,260,18.6,1.02
Matisse Thybulle,27,POR,SG,G,15,5,312,42,88,0.48,21,48,0.438,21,40,0.525,7,15,14,38,28,33,9,13,1.87,0.46,21,258,17.2,0.83
Reece Beekman,23,2TM,PG,G,36,4,469,35,107,0.33,7,40,0.175,28,67,0.418,16,21,13,26,63,33,2,21,1.75,0.33,13,254,7.1,0.54
Cam Reddish,25,LAL,SF,F,33,8,589,38,94,0.40,13,47,0.277,25,47,0.532,16,26,17,49,22,33,10,12,0.67,0.55,18,252.5,7.7,0.43
Bruce Brown,28,TOR,PG,G,18,0,353,57,131,0.44,11,36,0.306,46,95,0.484,26,29,17,51,28,17,3,19,1.56,0.68,20,247,13.7,0.70
Reece Beekman,23,BRK,PG,G,34,4,465,34,106,0.32,7,40,0.175,27,66,0.409,16,21,12,26,62,32,2,21,1.82,0.34,14,246.5,7.3,0.53
Jeff Green,38,HOU,PF,F,32,3,396,61,121,0.50,29,79,0.367,32,42,0.762,21,26,11,47,20,6,4,9,0.63,0.45,12,245,7.7,0.62
Jericho Sims,26,NYK,C,C,39,5,422,28,46,0.61,0,0,,28,46,0.609,8,13,51,78,22,8,10,21,0.56,0.95,11,245,6.3,0.58
Kevin Love,36,MIA,PF,F,23,9,251,41,115,0.36,24,67,0.358,17,48,0.354,16,23,22,72,22,15,4,14,0.96,0.64,11,240.5,10.5,0.96
Christian Koloko,24,LAL,C,C,37,0,342,40,66,0.61,0,4,0,40,62,0.645,10,14,35,57,16,8,16,12,0.43,0.75,9,240.5,6.5,0.70
Jordan Miller,25,LAC,SF,F,37,0,420,58,134,0.43,8,38,0.211,50,96,0.521,28,35,23,35,34,17,5,26,0.92,0.76,11,240,6.5,0.57
Marvin Bagley III,25,2TM,PF,F,31,2,265,55,106,0.52,3,19,0.158,52,87,0.598,23,35,38,46,11,9,8,12,0.35,1.09,9,239.5,7.7,0.90
Jevon Carter,29,CHI,PG,G,36,1,321,55,146,0.38,35,105,0.333,20,41,0.488,8,10,4,35,40,13,3,11,1.11,0.28,9,237.5,6.6,0.74
Ben Simmons,28,LAC,PG,G,18,0,295,23,53,0.43,0,0,,23,53,0.434,6,7,17,52,56,12,7,14,3.11,0.25,16,236,13.1,0.80
Reggie Jackson,34,PHI,PG,G,31,1,384,52,133,0.39,25,74,0.338,27,59,0.458,7,9,8,34,45,16,3,17,1.45,0.38,12,234.5,7.6,0.61
Tristan Thompson,33,CLE,C,C,40,0,328,31,71,0.44,0,3,0,31,68,0.456,7,30,32,102,24,2,11,14,0.60,0.58,8,233.5,5.8,0.71
Jaden Springer,22,2TM,PG,G,43,2,365,35,90,0.39,12,48,0.25,23,42,0.548,27,38,17,41,33,24,4,16,0.77,0.48,8,232.5,5.4,0.64
David Roddy,23,ATL,PF,F,27,3,346,44,93,0.47,16,43,0.372,28,50,0.56,18,22,11,59,30,12,8,20,1.11,0.67,13,231,8.6,0.67
Tre Mann,23,CHO,PG,G,13,0,319,70,161,0.44,24,60,0.4,46,101,0.455,19,21,12,26,39,7,4,25,3.00,0.64,25,230.5,17.7,0.72
Baylor Scheierman,24,BOS,SG,G,31,2,384,39,110,0.36,26,82,0.317,13,28,0.464,9,12,19,46,33,17,2,12,1.06,0.36,12,230.5,7.4,0.60
Trey Jemison,25,2TM,C,C,38,0,392,41,74,0.55,0,0,,41,74,0.554,13,33,44,61,16,9,15,24,0.42,1.50,10,227.5,6.0,0.58
Hunter Tyson,24,DEN,PF,F,51,2,400,45,120,0.38,23,74,0.311,22,46,0.478,21,28,25,53,20,10,6,14,0.39,0.70,8,227.5,4.5,0.57
Johnny Furphy,20,IND,SG,G,50,0,379,35,92,0.38,15,50,0.3,20,42,0.476,18,22,23,48,19,18,11,12,0.38,0.63,8,227,4.5,0.60
Torrey Craig,34,2TM,SF,F,26,4,314,38,90,0.42,24,66,0.364,14,24,0.583,8,12,27,46,17,8,12,8,0.65,0.47,12,224.5,8.6,0.71
Josh Okogie,26,CHO,SG,G,15,6,274,38,98,0.39,16,50,0.32,22,48,0.458,41,53,13,28,19,27,8,15,1.27,0.79,18,222.5,14.8,0.81
Rayan Rupert,20,POR,SG,G,52,0,460,58,142,0.41,16,59,0.271,42,83,0.506,23,30,26,44,25,16,4,30,0.48,1.20,9,222.5,4.3,0.48
Branden Carlson,25,OKC,C,C,32,0,246,43,97,0.44,22,66,0.333,21,31,0.677,14,18,17,37,14,5,21,7,0.44,0.50,8,221.5,6.9,0.90
Tyler Kolek,23,NYK,PG,G,41,0,296,27,82,0.33,14,47,0.298,13,35,0.371,13,17,8,19,70,12,4,18,1.71,0.26,7,218.5,5.3,0.74
Delon Wright,32,MIL,PG,G,26,2,405,22,82,0.27,12,49,0.245,10,33,0.303,9,16,15,31,48,23,9,14,1.85,0.29,16,217,8.3,0.54
Terrence Shannon Jr.,24,MIN,SG,G,32,1,339,55,114,0.48,11,31,0.355,44,83,0.53,17,21,10,37,32,7,5,15,1.00,0.47,11,216.5,6.8,0.64
Keion Brooks Jr.,24,NOP,SF,F,14,6,332,53,109,0.49,14,43,0.326,39,66,0.591,22,30,12,46,13,10,10,12,0.93,0.92,24,216,15.4,0.65
Josh Minott,22,MIN,SF,F,46,0,276,44,90,0.49,14,43,0.326,30,47,0.638,17,19,12,35,18,15,12,11,0.39,0.61,6,216,4.7,0.78
Pat Spencer,28,GSW,PG,G,39,0,250,41,101,0.41,5,22,0.227,36,79,0.456,11,15,15,31,48,14,3,18,1.23,0.38,6,213.5,5.5,0.85
Jordan McLaughlin,28,2TM,PG,G,46,0,314,31,72,0.43,19,46,0.413,12,26,0.462,17,22,6,24,51,16,1,16,1.11,0.31,7,212,4.6,0.68
Marcus Smart,30,WAS,PG,G,15,1,280,48,109,0.44,20,51,0.392,28,58,0.483,24,35,4,25,38,16,3,19,2.53,0.50,19,211,14.1,0.75
Shake Milton,28,LAL,SG,G,30,1,345,42,97,0.43,10,34,0.294,32,63,0.508,22,26,15,38,38,10,3,20,1.27,0.53,12,209,7.0,0.61
Jake LaRavia,23,SAC,PF,F,19,0,367,42,96,0.44,20,52,0.385,22,44,0.5,11,19,23,31,25,18,3,17,1.32,0.68,19,207.5,10.9,0.57
KJ Martin,24,UTA,SF,F,19,9,432,50,102,0.49,7,37,0.189,43,65,0.662,13,18,9,44,29,6,6,12,1.53,0.41,23,207,10.9,0.48
Anthony Gill,32,WAS,PF,F,51,0,397,43,88,0.49,10,31,0.323,33,57,0.579,33,50,18,48,16,9,2,10,0.31,0.63,8,207,4.1,0.52
Alex Len,31,SAC,C,C,36,3,258,22,41,0.54,1,6,0.167,21,35,0.6,7,13,25,39,30,8,18,11,0.83,0.37,7,206,5.7,0.80
Damion Baugh,24,CHO,SG,G,15,2,370,42,130,0.32,12,56,0.214,30,74,0.405,13,15,14,36,56,15,2,31,3.73,0.55,25,205,13.7,0.55
Isaac Jones,24,SAC,PF,F,40,0,304,54,83,0.65,3,8,0.375,51,75,0.68,23,36,22,35,12,5,10,16,0.30,1.33,8,203,5.1,0.67
Bones Hyland,24,2TM,PG,G,24,0,239,47,118,0.40,32,82,0.39,15,36,0.417,23,26,5,20,32,18,4,25,1.33,0.78,10,197.5,8.2,0.83
Cam Spencer,24,MEM,SG,G,25,1,252,34,82,0.42,19,52,0.365,15,30,0.5,19,19,12,18,34,9,1,6,1.36,0.18,10,194,7.8,0.77
Luka Garza,26,MIN,C,C,39,0,219,52,105,0.50,10,36,0.278,42,69,0.609,24,35,31,23,11,6,3,12,0.28,1.09,6,191.5,4.9,0.87
Maxwell Lewis,22,2TM,SF,F,28,1,327,45,108,0.42,19,50,0.38,26,58,0.448,7,10,18,37,19,9,7,14,0.68,0.74,12,189,6.8,0.58
Bones Hyland,24,LAC,PG,G,20,0,222,45,115,0.39,31,80,0.388,14,35,0.4,23,26,5,19,28,18,4,24,1.40,0.86,11,186,9.3,0.84
Jordan Walsh,20,BOS,PF,F,52,1,403,30,83,0.36,15,55,0.273,15,28,0.536,7,12,23,46,19,12,11,17,0.37,0.89,8,183.5,3.5,0.46
Maxwell Lewis,22,BRK,SF,F,21,1,298,43,102,0.42,19,50,0.38,24,52,0.462,7,10,16,37,17,8,7,12,0.81,0.71,14,182,8.7,0.61
Jared Rhoden,25,2TM,SG,G,14,2,227,42,87,0.48,12,39,0.308,30,48,0.625,22,25,14,28,16,10,2,9,1.14,0.56,16,181,12.9,0.80
Dru Smith,27,MIA,SG,G,14,1,268,31,61,0.51,16,30,0.533,15,31,0.484,9,12,12,24,23,21,6,17,1.64,0.74,19,178.5,12.8,0.67
Kobe Brown,25,LAC,PF,F,40,0,272,33,72,0.46,6,26,0.231,27,46,0.587,5,7,19,46,24,7,4,12,0.60,0.50,7,177,4.4,0.65
Colin Castleton,24,TOR,C,C,11,4,288,32,64,0.50,2,8,0.25,30,56,0.536,13,18,34,42,18,6,8,21,1.64,1.17,26,175.5,16.0,0.61
Marcus Bagley,23,PHI,SF,F,10,4,253,27,69,0.39,5,32,0.156,22,37,0.595,8,10,23,47,10,9,12,7,1.00,0.70,25,174.5,17.5,0.69
Drew Timme,24,BRK,PF,F,9,2,254,45,102,0.44,9,35,0.257,36,67,0.537,10,16,17,48,20,4,1,15,2.22,0.75,28,171,19.0,0.67
Jared Rhoden,25,TOR,SG,G,10,2,215,40,79,0.51,12,37,0.324,28,42,0.667,22,25,12,26,14,9,2,8,1.40,0.57,22,171,17.1,0.80
Jalen Hood-Schifino,21,2TM,SG,G,15,0,315,37,98,0.38,14,46,0.304,23,52,0.442,18,21,3,24,37,5,7,18,2.47,0.49,21,164.5,11.0,0.52
Isaiah Wong,24,CHO,SG,G,20,0,265,41,105,0.39,13,33,0.394,28,72,0.389,25,34,14,18,28,11,0,18,1.40,0.64,13,164.5,8.2,0.62
Marvin Bagley III,25,WAS,C,C,19,1,166,38,71,0.54,2,10,0.2,36,61,0.59,15,23,27,29,7,7,5,11,0.37,1.57,9,158,8.3,0.95
Jalen Hood-Schifino,21,PHI,SG,G,13,0,301,36,97,0.37,14,46,0.304,22,51,0.431,16,19,2,24,36,5,6,17,2.77,0.47,23,157,12.1,0.52
Patty Mills,36,2TM,PG,G,29,0,321,36,96,0.38,26,75,0.347,10,21,0.476,13,14,4,18,26,13,3,17,0.90,0.65,11,154.5,5.3,0.48
Wendell Moore Jr.,23,DET,SG,G,20,1,219,23,50,0.46,4,14,0.286,19,36,0.528,13,14,11,33,23,10,3,9,1.15,0.39,11,152.5,7.6,0.70
Wendell Moore Jr.,23,CHO,SG,G,16,0,280,36,76,0.47,10,27,0.37,26,49,0.531,5,8,19,32,19,10,2,18,1.19,0.95,18,152,9.5,0.54
Caleb Martin,29,DAL,SF,F,14,0,275,28,72,0.39,4,16,0.25,24,56,0.429,15,24,10,31,26,12,3,13,1.86,0.50,20,150.5,10.8,0.55
Doug McDermott,33,SAC,SF,F,42,3,342,50,117,0.43,44,101,0.436,6,16,0.375,3,5,3,19,7,4,2,6,0.17,0.86,8,150,3.6,0.44
Alex Reese,25,2TM,PF,F,15,0,216,26,54,0.48,15,41,0.366,11,13,0.846,9,12,9,38,4,10,10,6,0.27,1.50,14,148,9.9,0.69
Johnny Davis,22,WAS,SG,G,34,0,242,32,78,0.41,7,29,0.241,25,49,0.51,9,15,10,28,11,15,6,7,0.32,0.64,7,147,4.3,0.61
Kai Jones,24,LAC,C,C,28,0,208,26,36,0.72,0,2,0,26,34,0.765,9,12,15,31,10,6,13,10,0.36,1.00,7,146,5.2,0.70
Garrett Temple,38,TOR,SG,G,28,0,227,18,60,0.30,6,28,0.214,12,32,0.375,11,12,9,20,31,17,2,10,1.11,0.32,8,145,5.2,0.64
Alex Reese,25,PHI,PF,F,14,0,214,25,53,0.47,15,41,0.366,10,12,0.833,9,12,8,38,4,10,10,6,0.29,1.50,15,144.5,10.3,0.68
Delon Wright,32,NYK,PG,G,14,5,230,23,49,0.47,8,24,0.333,15,25,0.6,6,9,12,8,29,12,3,8,2.07,0.28,16,143.5,10.3,0.62
Chuma Okeke,26,2TM,PF,F,9,3,196,20,40,0.50,11,28,0.393,9,12,0.75,2,3,21,26,15,5,4,3,1.67,0.20,22,142,15.8,0.72
Bruno Fernando,26,TOR,C,C,17,2,147,26,49,0.53,0,0,,26,49,0.531,6,8,21,30,18,4,9,14,1.06,0.78,9,141,8.3,0.96
Cody Martin,29,PHO,SF,F,14,0,206,20,57,0.35,3,27,0.111,17,30,0.567,9,12,13,35,16,13,6,9,1.14,0.56,15,138.5,9.9,0.67
Jaden Springer,22,UTA,PG,G,17,2,224,23,56,0.41,6,29,0.207,17,27,0.63,12,17,13,21,23,12,3,12,1.35,0.52,13,137.5,8.1,0.61
JT Thor,22,2TM,PF,F,20,0,249,25,59,0.42,6,21,0.286,19,38,0.5,15,22,20,28,6,8,9,9,0.30,1.50,12,136.5,6.8,0.55
Drew Eubanks,27,LAC,C,C,24,0,178,27,49,0.55,0,1,0,27,48,0.563,11,14,20,38,9,2,7,10,0.38,1.11,7,136.5,5.7,0.77
Jaylen Martin,21,2TM,SF,F,16,0,239,31,74,0.42,7,23,0.304,24,51,0.471,9,10,11,33,17,9,0,12,1.06,0.71,15,133.5,8.3,0.56
Jaylen Martin,21,WAS,SF,F,13,0,234,30,72,0.42,6,22,0.273,24,50,0.48,9,10,11,33,17,9,0,12,1.31,0.71,18,131,10.1,0.56
Torrey Craig,34,BOS,SF,F,17,3,201,16,45,0.36,9,31,0.29,7,14,0.5,5,8,19,29,12,6,11,8,0.71,0.67,12,129.5,7.6,0.64
Chuma Okeke,26,PHI,PF,F,7,3,171,18,33,0.55,10,22,0.455,8,11,0.727,2,3,20,23,13,5,3,3,1.86,0.23,24,129,18.4,0.75
Jericho Sims,26,MIL,C,C,14,0,210,17,25,0.68,0,0,,17,25,0.68,0,0,20,48,11,2,9,12,0.79,1.09,15,128,9.1,0.61
Tony Bradley,27,IND,C,C,14,0,113,29,45,0.64,1,3,0.333,28,42,0.667,2,6,18,24,6,2,9,5,0.43,0.83,8,126,9.0,1.12
Dario Šarić,30,DEN,C,C,16,4,210,21,58,0.36,7,26,0.269,14,32,0.438,7,10,14,36,23,7,1,15,1.44,0.65,13,125,7.8,0.60
Dariq Whitehead,20,BRK,SF,F,20,0,246,39,96,0.41,33,74,0.446,6,22,0.273,3,5,4,25,12,6,1,15,0.60,1.25,12,123.5,6.2,0.50
Trey Jemison,25,LAL,C,C,22,0,226,26,42,0.62,0,0,,26,42,0.619,5,12,22,39,6,2,9,14,0.27,2.33,10,123.5,5.6,0.55
Killian Hayes,23,BRK,PG,G,6,5,162,18,43,0.42,8,21,0.381,10,22,0.455,10,12,5,13,31,4,4,9,5.17,0.29,27,121,20.2,0.75
Moses Brown,25,2TM,C,C,13,2,119,34,49,0.69,0,0,,34,49,0.694,8,11,12,32,2,6,4,11,0.15,5.50,9,119,9.2,1.00
Javonte Green,31,CLE,SG,G,18,1,166,23,63,0.37,8,33,0.242,15,30,0.5,5,10,10,30,11,10,1,4,0.61,0.36,9,117.5,6.5,0.71
Lester Quiñones,24,2TM,SG,G,13,0,183,31,78,0.40,13,44,0.295,18,34,0.529,11,13,4,15,24,3,2,14,1.85,0.58,14,112.5,8.7,0.61
Markelle Fultz,26,SAC,PG,G,21,0,184,28,67,0.42,4,8,0.5,24,59,0.407,1,1,6,14,27,10,2,15,1.29,0.56,9,112.5,5.4,0.61
Patty Mills,36,UTA,PG,G,17,0,260,26,76,0.34,17,57,0.298,9,19,0.474,5,5,3,18,21,12,3,16,1.24,0.76,15,111.5,6.6,0.43
Drew Peterson,25,BOS,PF,F,25,1,186,17,41,0.42,13,33,0.394,4,8,0.5,7,9,9,31,13,5,2,8,0.52,0.62,7,109.5,4.4,0.59
Ariel Hukporti,22,NYK,C,C,25,1,217,21,31,0.68,0,0,,21,31,0.677,6,13,14,37,11,1,15,21,0.44,1.91,9,109.5,4.4,0.50
MarJon Beauchamp,24,3TM,SF,F,35,0,156,27,65,0.42,10,29,0.345,17,36,0.472,15,20,11,33,11,4,1,15,0.31,1.36,4,109,3.1,0.70
Lamar Stevens,27,MEM,PF,F,17,1,155,29,63,0.46,8,27,0.296,21,36,0.583,8,11,4,34,8,5,3,10,0.47,1.25,9,107.5,6.3,0.69
Jordan McLaughlin,28,SAC,PG,G,28,0,190,16,44,0.36,10,26,0.385,6,18,0.333,11,16,4,17,24,11,0,11,0.86,0.46,7,107.5,3.8,0.57
Lester Quiñones,24,NOP,SG,G,9,0,166,27,70,0.39,13,41,0.317,14,29,0.483,10,12,1,14,23,3,2,10,2.56,0.43,18,106,11.8,0.64
JT Thor,22,WAS,PF,F,11,0,207,16,44,0.36,3,15,0.2,13,29,0.448,8,14,17,25,5,6,6,3,0.45,0.60,19,104.5,9.5,0.50
Jordan McLaughlin,28,SAS,PG,G,18,0,124,15,28,0.54,9,20,0.45,6,8,0.75,6,6,2,7,27,5,1,5,1.50,0.19,7,104.5,5.8,0.84
Trey Jemison,25,NOP,C,C,16,0,166,15,32,0.47,0,0,,15,32,0.469,8,21,22,22,10,7,6,10,0.63,1.00,10,104,6.5,0.63
De'Anthony Melton,26,GSW,SG,G,6,2,121,22,54,0.41,13,35,0.371,9,19,0.474,5,8,6,14,17,7,2,10,2.83,0.59,20,99.5,16.6,0.82
Bronny James,20,LAL,SG,G,27,1,181,21,67,0.31,9,32,0.281,12,35,0.343,11,14,4,14,22,9,3,13,0.81,0.59,7,99.5,3.7,0.55
