Player,Age,Team,Pos,PosH,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,AST/G,TOV/AST,MPPG,FP,FPPG,FPPM
Brandon Williams,25,DAL,PG,G,33,3,487,98,188,0.52,24,60,0.4,74,128,0.578,55,66,12,46,76,24,5,39,2.30,0.51,15,420.5,12.7,0.86
Kai Jones,24,2TM,C,C,40,6,468,87,109,0.80,1,5,0.2,86,104,0.827,23,32,40,85,25,15,23,18,0.63,0.72,12,417.5,10.4,0.89
Pat Connaughton,32,MIL,SG,G,41,1,603,83,177,0.47,26,81,0.321,57,96,0.594,24,31,19,90,70,9,11,24,1.71,0.34,15,416,10.1,0.69
Reed Sheppard,20,HOU,PG,G,52,3,654,84,239,0.35,48,142,0.338,36,97,0.371,13,16,16,62,75,35,17,37,1.44,0.49,13,416,8.0,0.64
Jared McCain,20,PHI,SG,G,23,8,592,126,274,0.46,51,133,0.383,75,141,0.532,49,56,13,43,60,15,0,37,2.61,0.62,26,413,18.0,0.70
Elfrid Payton,30,2TM,PG,G,24,9,511,40,122,0.33,1,6,0.167,39,116,0.336,4,7,15,64,166,24,11,59,6.92,0.36,21,413,17.2,0.81
Collin Gillespie,25,PHO,PG,G,33,9,461,68,158,0.43,39,90,0.433,29,68,0.426,19,22,22,56,78,21,5,17,2.36,0.22,14,410.5,12.4,0.89
Vasilije Micić,31,CHO,PG,G,36,16,764,95,273,0.35,45,125,0.36,50,148,0.338,34,41,20,67,127,15,0,74,3.53,0.58,21,409.5,11.4,0.54
Kyle Lowry,38,PHI,PG,G,35,12,659,41,117,0.35,29,88,0.33,12,29,0.414,27,33,11,56,96,33,11,21,2.74,0.22,19,407.5,11.6,0.62
Vasilije Micić,31,2TM,PG,G,41,16,785,95,273,0.35,45,125,0.36,50,148,0.338,34,41,20,69,128,15,0,77,3.12,0.60,19,407.5,9.9,0.52
Georges Niang,31,ATL,PF,F,28,2,644,120,272,0.44,76,184,0.413,44,88,0.5,23,29,13,70,44,11,7,34,1.57,0.77,23,405.5,14.5,0.63
Dennis Schröder,31,GSW,SG,G,24,18,628,94,251,0.38,37,115,0.322,57,136,0.419,29,39,10,46,105,25,3,48,4.38,0.46,26,401.5,16.7,0.64
Eric Gordon,36,PHI,SG,G,39,13,768,87,204,0.43,56,137,0.409,31,67,0.463,36,48,8,38,65,26,12,28,1.67,0.43,20,401.5,10.3,0.52
Jock Landale,29,HOU,C,C,42,3,500,81,152,0.53,11,26,0.423,70,126,0.556,27,40,56,81,37,13,10,21,0.88,0.57,12,401,9.5,0.80
Olivier-Maxence Prosper,22,DAL,PF,F,52,4,584,70,174,0.40,12,51,0.235,58,123,0.472,49,76,44,82,40,26,6,14,0.77,0.35,11,399.5,7.7,0.68
Jae'Sean Tate,29,HOU,SF,F,52,2,588,70,148,0.47,16,46,0.348,54,102,0.529,32,47,50,67,47,26,7,22,0.90,0.47,11,399.5,7.7,0.68
Monte Morris,29,PHO,PG,G,45,0,571,83,195,0.43,31,86,0.36,52,109,0.477,36,42,12,55,73,20,3,21,1.62,0.29,13,397,8.8,0.70
John Konchar,28,MEM,SG,G,46,4,558,41,91,0.45,23,62,0.371,18,29,0.621,7,8,37,114,42,30,14,16,0.91,0.38,12,396,8.6,0.71
Herbert Jones,26,NOP,SF,F,20,20,648,75,172,0.44,22,72,0.306,53,100,0.53,33,40,22,56,65,37,9,35,3.25,0.54,32,394,19.7,0.61
Dwight Powell,33,DAL,C,C,55,3,551,42,61,0.69,2,5,0.4,40,56,0.714,28,43,47,71,55,18,21,18,1.00,0.33,10,390.5,7.1,0.71
Zeke Nnaji,24,DEN,PF,F,57,4,608,70,141,0.50,17,52,0.327,53,89,0.596,27,44,33,57,23,25,38,14,0.40,0.61,11,390.5,6.9,0.64
Ajay Mitchell,22,OKC,SG,G,36,1,597,91,184,0.50,23,60,0.383,68,124,0.548,29,35,18,50,64,25,4,29,1.78,0.45,17,389.5,10.8,0.65
Kessler Edwards,24,DAL,SF,F,40,18,608,67,135,0.50,22,54,0.407,45,81,0.556,12,13,22,93,42,19,20,16,1.05,0.38,15,389.5,9.7,0.64
Larry Nance Jr.,32,ATL,PF,F,24,3,463,80,155,0.52,34,76,0.447,46,79,0.582,9,13,23,80,38,20,13,16,1.58,0.42,19,388,16.2,0.84
Nick Richards,27,CHO,C,C,21,9,440,64,114,0.56,0,1,0,64,113,0.566,59,87,51,107,28,7,26,33,1.33,1.18,21,387.5,18.5,0.88
Kyle Anderson,31,MIA,SF,F,25,1,461,66,134,0.49,6,18,0.333,60,116,0.517,30,38,26,70,64,14,13,17,2.56,0.27,18,387,15.5,0.84
Bol Bol,25,PHO,PF,F,36,10,448,96,183,0.53,32,93,0.344,64,90,0.711,20,26,20,84,22,9,25,20,0.61,0.91,12,383.5,10.7,0.86
Charles Bassey,24,SAS,C,C,36,1,376,68,117,0.58,0,0,,68,117,0.581,21,33,56,96,17,14,30,23,0.47,1.35,10,382.5,10.6,1.02
Cory Joseph,33,ORL,PG,G,50,16,612,62,154,0.40,39,107,0.364,23,47,0.489,14,18,17,57,72,26,4,18,1.44,0.25,12,379.5,7.6,0.62
Bismack Biyombo,32,SAS,C,C,28,26,528,67,114,0.59,0,0,,67,114,0.588,10,25,43,115,31,16,23,27,1.11,0.87,19,378.5,13.5,0.72
Antonio Reeves,24,NOP,SG,G,44,6,660,113,248,0.46,51,129,0.395,62,119,0.521,28,35,18,45,39,21,4,30,0.89,0.77,15,374,8.5,0.57
Jericho Sims,26,2TM,C,C,53,5,632,45,71,0.63,0,0,,45,71,0.634,8,13,71,126,33,10,19,33,0.62,1.00,12,373,7.0,0.59
